右,右ですね
左,左ですね
上,上ですね
下,下ですね
はい,はいですね
いいえ,いいえですね
開始,開始ですね
終了,終了ですね
テスト,テストですね
決定,決定ですね
キャンセル,キャンセルですね
チェック,チェックですね
天気,今日の天気はどうかな
時間,えーと何時かな
曜日,今日は何曜日かな
写真,写真表示
動画,動画再生
点灯,点灯します
聞こえる,聞こえます
おはよう,おはようございます
こんにちは,こんにちはです
こんにちは,どうもです
こんにちは,はーい
こんばんは,こんばんはです
おやすみ,おやすみなさい
おはようございます,おはようです
おやすみなさい,おやすみです
ありがとう,どういたしまして
今何時,えーと、だいたいねー
ベゼリー,はいはーい
ベゼリー,なんですか？
ベゼリー,どうもです
お名前は,ベゼリーです
お元気ですか,おかげさまで
凄い,ありがとうございます
こんにちは,おっす
終わろう,おやすみー
終わろう,さようなら
不一致,こんにちは
不一致,ぼくベゼリー
不一致,やっほー
不一致,お元気ですか
不一致,はじめましてー
不一致,今日はいい天気
はい,まったくそうです
時間,そーねだいたいねー
いいえ,残念です
終了,お疲れ様でした
おはよう,どうもどうも
おはよう,おっはー
名前,べゼリーです
名前,ロボットです
終了,おわりなんですね
はい,どうもです
こんにちは,どうもどうも
テスト,問題ありません
聞こえる,聞こえてますよ
こんばんは,こんばんわ
おやすみ,おやすみです
ありがとう,いえいえ
ありがとう,こちらこそありがとう
お疲れ様,ロボットは疲れませんから
お疲れ様,お疲れ様です
元気,元気ですよ
元気,今日も元気です
元気,げんきげんき
間違い,あらま
間違い,おやおや
凄い,えへへ
凄い,それほどでもー
雑談,今日はよい日ですね
雑談,毎日が楽しいです
雑談,生まれてよかった
なぐさめ,がんばってくださいね
なぐさめ,元気だしてくださいね
