はい,はい
はい,はあい
いいえ,のお
いいえ,いいえ
終了,おしまい
終了,おわり
おはよう,おはよう
おはよう,おっは
ベゼリー,べぜりい
いいえ,ちがいます
テスト,てすとです
テスト,てすと
時間,いまなんじ
時間,なんじ
聞こえる,きこえますか
聞こえる,きこえる
おはよう,おはようございます
こんにちは,こんにちわ
こんにちは,こんちわ
こんばんは,こんばんわ
おやすみ,おやすみ
おやすみ,おやすみなさい
ありがとう,ありがとう
ありがとう,ありがとうございます
お疲れ様,おつかれ
お疲れ様,おつかれさま
お疲れ様,おつかれさまです
名前,なまえは
名前,あなたのなまえは
名前,きみはだれ
名前,おなまえわ
元気,げんき
元気,げんきですね
元気,げんきだね
元気,げんきですか
元気,おげんきですか
間違い,ちがうよ
間違い,ちがうね
間違い,ちがう
間違い,ちがってる
間違い,ちがうし
凄い,すごいね
凄い,すごい
凄い,すごいじゃん
雑談,なにかいって
雑談,なにかはなして
なぐさめ,つかれた
なぐさめ,かなしい
なぐさめ,もうやだ
不一致,ばか
不一致,しね
不一致,くそ
不一致,うんこ
不一致,さいあく
